MEV_ID,Estrategia,Archivo_generado,Detector_ID,Contrato_economico,Min_legs_fuente,Max_legs_fuente,Hops_repo,Hops_busqueda,Fuentes_cubiertas_sin_recorte_de_hops,Operadores_primarios,Operadores_secundarios,Pesos,Compilacion_Rhai,Estado_integracion,Ecuacion_original,Referencia_fuente
MEV-01-001,DEX–DEX arbitrage,generated/cartridges/strategies/mev_01_001_dex_dex_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A2:AA2"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A2:AB2"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A2:AJ32""}"
MEV-01-002,Cross-pool arbitrage,generated/cartridges/strategies/mev_01_002_cross_pool_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A3:AA3"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A3:AB3"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A33:AJ63""}"
MEV-01-003,Cross-protocol arbitrage,generated/cartridges/strategies/mev_01_003_cross_protocol_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A4:AA4"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A4:AB4"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A64:AJ94""}"
MEV-01-004,Cross-version arbitrage,generated/cartridges/strategies/mev_01_004_cross_version_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A5:AA5"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A5:AB5"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A95:AJ125""}"
MEV-01-005,Cross-fork arbitrage,generated/cartridges/strategies/mev_01_005_cross_fork_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A6:AA6"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A6:AB6"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A126:AJ156""}"
MEV-01-006,Cross-fee-tier arbitrage,generated/cartridges/strategies/mev_01_006_cross_fee_tier_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A7:AA7"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A7:AB7"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A157:AJ187""}"
MEV-01-007,Cross-liquidity-tier arbitrage,generated/cartridges/strategies/mev_01_007_cross_liquidity_tier_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A8:AA8"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A8:AB8"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A188:AJ218""}"
MEV-01-008,AMM–AMM arbitrage,generated/cartridges/strategies/mev_01_008_amm_amm_arbitrage.rhai,R_CLOSED_CYCLE,closed_route,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[15, 16, 21, 27]","[1, 22, 26, 30]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,Q_R(x)=q_n(...q_2(q_1(x))); Π_R(x)=Q_R(x)-x-C_R(x). Opportunity iff max_x Π_R(x)>0. Marginal prefilter: Σ_e[-ln((1-fee_e)·rate_e)]<0.,"{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A9:AA9"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A9:AB9"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A219:AJ249""}"
MEV-01-009,AMM–CLOB arbitrage,generated/cartridges/strategies/mev_01_009_amm_clob_arbitrage.rhai,R_ORDERBOOK,firm_pair,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[8, 10, 11, 23]","[13, 16, 22]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,"Π(q)=Proceeds_bid(q)-Cost_ask(q)-taker_fees(q)-settlement_cost(q)-hedge_cost(q). Prices must be VWAP/depth-aware, not top-of-book only.","{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A10:AA10"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A10:AB10"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A250:AJ280""}"
MEV-01-010,CLOB–CLOB arbitrage,generated/cartridges/strategies/mev_01_010_clob_clob_arbitrage.rhai,R_ORDERBOOK,firm_pair,2,8,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",False,"[8, 10, 11, 23]","[13, 16, 22]",UNCALIBRATED,NOT_RUN,STAGED_NOT_WIRED,"Π(q)=Proceeds_bid(q)-Cost_ask(q)-taker_fees(q)-settlement_cost(q)-hedge_cost(q). Prices must be VWAP/depth-aware, not top-of-book only.","{""catalog"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!01_MEV_MATRIX_1_11!A11:AA11"", ""math"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!02_CARTRIDGE_MATH_MAP!A11:AB11"", ""master"": ""ArbitrageX_Master_264x31_LIVE_First(2).xlsx!07_MASTER_264x31!A281:AJ311""}"
