ruta,archivo,componente,elemento_ui,tipo_elemento,hook_store,endpoint_ws,tipo_dato,entrada_salida,funcion,backend_handler,persistencia,reload_event,runtime_consumer,audit_event,ui_final_state,tests,estado
/,frontend/app/page.tsx,HomeOverview,readiness_summary_card,card,useReadinessDecision,GET /api/readiness/decision,ReadinessDecision,salida,muestra GO/NO-GO global,readinessHandler,PG: crucible_runs,—,frontend store,—,PASS / PARTIAL / BLOCKED según readiness,page_smoke_test,PASS
/,frontend/app/page.tsx,HomeOverview,chain_status_grid,table,useChains,GET /api/v1/chains,ChainEntity[],salida,lista cadenas + readiness por chain,chainsListHandler,PG: chains_runtime,—,frontend store,—,PASS por chain individual,chains.list.test,PASS
/onboarding/1-init,frontend/app/onboarding/1-init/page.tsx,OnboardingInit,operator_handle_input,input text,useOnboardingForm,POST /api/onboarding/register,OnboardingInitRequest,entrada,registra operator inicial,registerOperatorHandler,PG: operator_parametrization,arbx:config:operator:reload,api-server,operator_registered,VERIFIED_RUNTIME,onboarding.init.test,PASS
/onboarding/1-init,frontend/app/onboarding/1-init/page.tsx,OnboardingInit,admin_token_input,input password,useOnboardingForm,POST /api/onboarding/store-token,OnboardingTokenRequest,entrada,almacena ARBX_ADMIN_TOKEN,storeAdminTokenHandler,Redis: token cache + PG audit,—,api-server,admin_token_stored,VERIFIED,onboarding.token.test,PASS
/onboarding/5-production,frontend/app/onboarding/5-production/page.tsx,ProductionGate,promote_mainnet_button,button,usePromoteMainnet,POST /api/admin/promote-mainnet,PromoteMainnetRequest (sovereign sig),entrada,promueve cadena a mainnet (gate Crucible),admin-promote-mainnet.ts,PG: chain_runtime + audit,arbx:config:promotion:<chain_id>:reload,searcher-rs,mainnet_promotion_attempt,WAITING_RUNTIME_ACK 10s → VERIFIED,promote_mainnet.test,PASS
/operations,frontend/app/operations/page.tsx,OperationsDashboard,system_manifest_panel,card,useSystemManifest,GET /api/system/manifest,SystemManifest,salida,muestra hash de manifest + features activas,system-manifest.ts,PG: feature_manifest,—,frontend store,—,PASS,manifest.test,PASS
/opportunities,frontend/app/opportunities/page.tsx,OpportunitiesLive,ws_stream,websocket stream,useOpportunitiesStream,WS /edge/ws/opportunities,OpportunityItem (snapshot+delta),salida,stream live de oportunidades simuladas,opportunities-live.ts → searcher-rs,Redis: opp_stream,arbx:opportunities:emit,searcher-rs scan loop,—,PASS streaming con sequence_id,opportunities.stream.test,PARTIAL — pendiente tipar `as unknown as OpportunityListItem` (useOpportunitiesStream:306)
/executions,frontend/app/executions/page.tsx,ExecutionsTable,csv_export_button,button,useExecutions,GET /api/executions + clientside,ExecutionRecord[],entrada (acción) + salida (csv),exporta CSV local,—,—,—,—,—,VERIFIED (client-only),executions.export.test,"PARTIAL — usa `as unknown as Record<string,unknown>[]` (ExecutionsTable:90)"
/audit-logs,frontend/app/audit-logs/page.tsx,AuditLogsTable,csv_export_button,button,useAuditLogs,GET /api/audit + clientside,AuditEvent[],entrada (acción) + salida (csv),exporta CSV local,—,—,—,—,—,VERIFIED (client-only),audit.export.test,"PARTIAL — usa `as unknown as Record<string,unknown>[]` (AuditLogsTable:87)"
/live-readiness,frontend/app/live-readiness/page.tsx,GoNoGoPanel,decision_card,card,useReadinessDecision,GET /api/readiness/decision,ReadinessDecision,salida,muestra GO/NO-GO + blockers desglosados,readiness-extras.ts,PG: crucible_runs + readiness_state,arbx:readiness:reload,readiness engine,readiness_recomputed,PASS / BLOCKED con blockers explícitos,readiness.test,PASS
/chains,frontend/app/chains/page.tsx,ChainsCatalog,chains_table,table,useChains,GET /api/v1/chains,ChainEntity[],salida,lista cadenas con readiness,chainsListHandler,PG: chains_runtime,—,frontend store,—,PASS,chains.list.test,PASS
/admin/chains,frontend/app/admin/chains/page.tsx,AdminChainsTable,create_chain_button,button,useChains.createChain,POST /api/v1/admin/chains,ChainCreateRequest,entrada,agrega cadena,admin-chains.ts,PG: chains_runtime + audit,arbx:config:chains:<id>:reload,searcher-rs,chain_created,WAITING_RUNTIME_ACK → VERIFIED,admin-chains.test,PASS
/admin/chains,frontend/app/admin/chains/page.tsx,AdminChainsTable,enable_chain_toggle,toggle/switch,useChains.toggleChain,PUT /api/v1/admin/chains/:id/toggle,ChainToggleRequest,entrada,habilita/deshabilita cadena,admin-chains.ts,PG: chains_runtime + audit,arbx:config:chains:<id>:reload,searcher-rs,chain_toggled,WAITING_RUNTIME_ACK → VERIFIED,admin-chains.toggle.test,PASS
/admin/chains,frontend/app/admin/chains/page.tsx,AdminChainsTable,edit_chain_form,form,useChains.editChain,PUT /api/v1/admin/chains/:id,ChainEditRequest,entrada,edita parámetros cadena,admin-chains.ts,PG: chains_runtime + audit,arbx:config:chains:<id>:reload,searcher-rs,chain_edited,WAITING_RUNTIME_ACK → VERIFIED,admin-chains.edit.test,PASS
/dex-registry,frontend/app/dex-registry/page.tsx,DexRegistryClient,create_dex_form,form,useDexes.create,POST /api/v1/dexes,DexCreateRequest,entrada,agrega DEX a cadena,dexes.ts,PG: dex_registry + audit,arbx:config:dex:<id>:reload,searcher-rs scanner,dex_added,WAITING_RUNTIME_ACK → VERIFIED,dexes.test,PARTIAL — `Math.random` para row keys (DexRegistryClient:437) cumple INV (no persistido) pero recomendado reemplazar por crypto.randomUUID
/pools,frontend/app/pools/page.tsx,PoolsClient,pool_table,table,usePools,GET /api/v1/pools,PoolEntity[],salida,lista pools con sync status,pools.ts,PG: pool_registry,—,pool_sync_worker,—,PASS por pool con last_sync_at,pools.test,PASS
