Detector_ID,Logica,Cartuchos,Contrato_requerido,Codigo_de_quote_incluido,Feeds_y_solver_completos_implementados,Compilado,E2E_live
CF_BATCH,constrained_settlement,2,order_limits_respected; balance_conservation; approvals_valid; orders_not_expired; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_BOND,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; exact_integrated_cost_curve; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_CLAMM,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; full_tick_traversal_or_protocol_quoter; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_CONSTANT_SUM,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; reserve_boundary_respected; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_CPMM,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_CROSSINV,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_DYNAMIC,closed_route,4,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; dynamic_parameters_and_hook_state; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_LB,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; all_crossed_bins_and_variable_fees; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_PMM,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; oracle_round_and_inventory_branch; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_STABLESWAP,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; exact_invariant_version_and_rates; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_TWAMM,post_state_route,1,confirmed_transition; post_state_bound; protocol_exact_quotes; settlement_executable; virtual_orders_advanced_to_snapshot; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_VAMM,carry_projection,1,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
CF_WEIGHTED,closed_route,1,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; normalized_weights_and_scaling; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
C_CEXDERIV,carry_projection,2,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
C_CEXDEX,firm_pair,10,same_economic_asset; matched_quantity; firm_depth; inventory_available; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
D_BASIS,carry_projection,13,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
D_FUNDING,carry_projection,2,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
D_OPTIONS_PARITY,payoff_portfolio,4,same_underlying; payoff_model_complete; firm_all_legs; quantity_conservation; settlement_executable; same_strike_expiry_multiplier; financing_and_dividends; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
D_OPTIONS_SURFACE,payoff_portfolio,6,same_underlying; payoff_model_complete; firm_all_legs; quantity_conservation; settlement_executable; strike_calendar_constraints; portfolio_is_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
D_SETTLE,carry_projection,5,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
E_AUCTION,auction,2,auction_rules_valid; lot_available; deadline_valid; firm_unwind; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
E_LATENCY,post_state_route,6,confirmed_transition; post_state_bound; protocol_exact_quotes; settlement_executable; independent_timestamps; execution_before_quote_expiry; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
E_ORACLE,post_state_route,2,confirmed_transition; post_state_bound; protocol_exact_quotes; settlement_executable; oracle_round_verified; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
E_POST,post_state_route,6,confirmed_transition; post_state_bound; protocol_exact_quotes; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
E_STATE,post_state_route,15,confirmed_transition; post_state_bound; protocol_exact_quotes; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
I_BATCH,constrained_settlement,4,order_limits_respected; balance_conservation; approvals_valid; orders_not_expired; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
I_DUTCH,auction,1,auction_rules_valid; lot_available; deadline_valid; firm_unwind; settlement_executable; auction_price_at_evaluation_time; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
