Ruta,Archivo,Proposito,Componentes_Clave,Hooks,Endpoints,WS_SSE,Schemas,Persistencia,Reload_Event,Runtime_Consumer,Audit_Event,Estado_E2E,Observacion
/dashboard,app/page.tsx,Vision global del sistema,Card+Badge+Chart,useReadiness,GET /api/readiness/decision,WSS opportunities,ReadinessDecisionSchema,PG readiness_cache,—,searcher-rs,readiness.snapshot,PASS,Live data verificado
/chains,app/chains/page.tsx,Gestion de chains habilitadas,Table+Toggle+Dialog,useChains+useChainToggle,GET/PUT /api/v1/admin/chains/:id,—,ChainSchema+ChainToggleSchema,PG chains_runtime,arbx:config:chains:<id>:reload,searcher-rs run_chain,chain_config_updated,PASS,Idempotency-Key obligatoria
/rpcs,app/rpcs/page.tsx,Endpoints RPC por chain,Table+Form,useRpcRegistry,CRUD /api/v1/admin/registries/rpc,—,RpcSchema,PG rpc_endpoints (066),arbx:config:rpc:<chain>:reload,searcher-rs rpc_pool,rpc.update,PASS,—
/dex-registry,app/dex-registry/page.tsx,DEXes y factories,Table+Dialog,useDexRegistry,CRUD /api/v1/admin/dexes,—,DexSchema,PG dexes,arbx:config:dex:reload,searcher-rs dex_engine,dex.update,PASS,—
/pools,app/pools/page.tsx,Pools long-tail,Table+Filter,usePools,GET /api/pools,polling 5s,PoolSchema,PG pools+pools_runtime,—,pool_discovery,—,PASS,Lectura on-chain via alloy
/wallets,app/wallets/page.tsx,Bovedas (gas/signer/treasury),Table+Topology,useWalletTopology,GET /api/wallets,—,WalletSchema,PG wallets,—,searcher-rs wallet_manager,—,PASS,Ghost Protocol invariant
/strategies,app/strategies/page.tsx,Catalogo de estrategias,Table+Toggle,useStrategies,CRUD /api/strategies,—,StrategySchema,PG strategy_configs (056),arbx:config:strategy:reload,prioritization-spine,strategy.update,PASS,—
/risk,app/risk/page.tsx,Risk gates+circuit breakers,Table+Card,useRiskGates,GET /api/risk/circuit-breakers,WSS risk events,RiskGateSchema,PG risk_gates (066)+risk_events (060),arbx:config:risk_gate:reload,gates.rs,risk.update,PASS,—
/recon,app/recon/page.tsx,Reconciliacion forense,Timeline,useRecon,GET /api/recon,—,ReconSchema,PG audit_event,—,recon crate,—,PARTIAL,Bucle bayesiano de retorno parcial
/sed,app/sed/page.tsx,SED core eigenstates,Card+Chart,useSedStatus,GET /api/sed/status,WSS sed_events,SedEigenstateSchema,PG sed_eigenstates (063),—,sed-core,sed.eigenstate,PASS,Spectral gap visible
/audit-logs,app/audit-logs/page.tsx,Inmutable audit log,Table+Filter,useAuditLog,GET /api/audit-logs,—,AuditEventSchema,PG audit_event,—,—,—,PASS,PII hardened (053+055)
/executions,app/executions/page.tsx,Resoluciones holonomicas,Table+Detail,useExecutions,GET /api/executions,WSS exec_events,ExecutionSchema,PG executions,—,searcher-rs+relays-client,execution.completed,PASS,—
/opportunities,app/opportunities/page.tsx,Topological Yield candidatos,Table+Live,useOpportunitiesLive,GET /api/opportunities,WSS opps,OpportunitySchema,Redis stream,—,scanner,—,PASS,Sub-ms latency
/live-readiness,app/live-readiness/page.tsx,Matriz Go/No-Go,GoNoGoPanel,useReadinessDecision,GET /api/readiness/decision,polling 1s,ReadinessDecisionSchema,PG readiness_cache,—,readiness engine,readiness.decision,PARTIAL,Falta firma sovereign (B-SOV)
/killswitch,app/killswitch/page.tsx,Emergency stop,Button+Confirm,useKillswitch,POST /api/killswitch,—,KillswitchSchema,PG circuit_breakers,arbx:killswitch:trigger,searcher-rs killswitch,killswitch.triggered,PASS,Idempotency obligatoria
/operations,app/operations/page.tsx,Operaciones diarias,Card+Form,useOperations,CRUD /api/operations,—,OperationsSchema,PG operations,arbx:config:operations:reload,—,operations.update,PASS,—
/status,app/status/page.tsx,Health checks,Card+Badge,useStatus,GET /api/status,—,StatusSchema,multiple,—,multiple,—,PASS,—
/settings,app/settings/page.tsx,Config global,Form,useSettings,CRUD /api/settings,—,SettingsSchema,PG settings,arbx:config:settings:reload,—,settings.update,PASS,—
/omega-s5/factory,app/omega-s5/factory/page.tsx,DeterministicFactory CREATE2,Card+Form,useFactory,GET /api/admin/factory,—,FactorySchema,PG contract_registry (066),arbx:config:contract:reload,searcher-rs,factory.deploy,PASS,—
/omega-s5/wallets,app/omega-s5/wallets/page.tsx,WalletTopology operador,Topology+Form,useWalletTopology,CRUD /api/admin/wallets,—,WalletSchema,PG wallets,arbx:config:wallet:reload,searcher-rs wallet_manager,wallet.update,PASS,Ghost Protocol invariant
/omega-s5/core,app/omega-s5/core/page.tsx,Resolution Core,Card,useResolutionCore,GET /api/admin/core,—,CoreSchema,PG contract_registry,—,searcher-rs,—,PASS,—
/omega-s5/adapters,app/omega-s5/adapters/page.tsx,DEX adapters,Table,useAdapters,GET /api/admin/adapters,—,AdapterSchema,PG contract_registry,arbx:config:contract:reload,searcher-rs dex_engine,—,PASS,—
